タイトル,メモ,URL,タグ,コメント,リンク種別,URL内スラッグ,デコード名,place_id,検索文字列,緯度,経度,取得方法,place_id_上位,place_id_下位,取得対象キー,住所,電話番号,営業時間,カテゴリ,総合評価,レビュー数,取得方法_備考,推定_place_id,国際電話番号,営業時間_曜日,営業情報_備考,価格帯,営業状態,ウェブサイト,GoogleマップURL,緯度_detail,経度_detail,API取得ステータス,レビュー要約文
大田咖喱（おおたかりー）,"",https://www.google.com/maps/place/%E5%A4%A7%E7%94%B0%E5%92%96%E5%96%B1%EF%BC%88%E3%81%8A%E3%81%8A%E3%81%9F%E3%81%8B%E3%82%8A%E3%83%BC%EF%BC%89/data=!4m2!3m1!1s0x3546a756a2ed8ff1:0x597f3a7807d0fc68,昼食,ランチ利用に向く食事店。,place,%E5%A4%A7%E7%94%B0%E5%92%96%E5%96%B1%EF%BC%88%E3%81%8A%E3%81%8A%E3%81%9F%E3%81%8B%E3%82%8A%E3%83%BC%EF%BC%89,大田咖喱（おおたかりー）,0x3546a756a2ed8ff1:0x597f3a7807d0fc68,"","","",URLパスから抽出,0x3546a756a2ed8ff1,0x597f3a7807d0fc68,place_id,〒874-0932 大分県別府市野口中町７−２０,090-2223-1177,"",establishment / food / point_of_interest / restaurant,4.8,56,Google Maps URL 文字列ベースで分解のみ,ChIJ8Y_tolanRjURaPzQB3g6f1k,+81 90-2223-1177,月曜日: 定休日 | 火曜日: 11時00分～14時30分 | 水曜日: 11時00分～14時30分 | 木曜日: 定休日 | 金曜日: 11時00分～14時30分 | 土曜日: 11時00分～14時30分 | 日曜日: 定休日,open_now=False,"",OPERATIONAL,https://instagram.com/ota.curry/,https://maps.google.com/?cid=6448937478619462760,33.2824282,131.4970863,OK,スパイスの効きがきれいで、最後まで食欲が残る。 照明と音のバランスが取れていて、体感しやすい。 とくに、レビューが厚めで、行く前に条件を合わせやすい。 高評価帯で、見込みのズレが少なめ。
EEL.BISTRO,"",https://www.google.com/maps/place/EEL.BISTRO/data=!4m2!3m1!1s0x3546a7002e62016f:0xb43a43f24cb0641c,夕食 / お酒,夕食からお酒まで使いやすい店。,place,EEL.BISTRO,EEL.BISTRO,0x3546a7002e62016f:0xb43a43f24cb0641c,"","","",URLパスから抽出,0x3546a7002e62016f,0xb43a43f24cb0641c,place_id,〒874-0944 大分県別府市元町５−９ 西山ビル １F,"","",establishment / food / point_of_interest / restaurant,4,2,Google Maps URL 文字列ベースで分解のみ,ChIJbwFiLgCnRjURHGSwTPJDOrQ,"",月曜日: 定休日 | 火曜日: 18時00分～0時00分 | 水曜日: 18時00分～0時00分 | 木曜日: 18時00分～0時00分 | 金曜日: 18時00分～0時00分 | 土曜日: 18時00分～0時00分 | 日曜日: 18時00分～0時00分,open_now=False,"",OPERATIONAL,"",https://maps.google.com/?cid=12986767183424021532,33.2776204,131.5041315,OK,空間が落ち着いていて、長めに使っても疲れにくい。 くつろげる距離感の店内で、滞在しやすい。 回遊時は、口コミ数は少なめなので、訪問時の体験が判断の軸になる。 評価はそこそこで、使い方で体験の満足が変わる。
ニューバサラ ナチュラルワイン食堂,"",https://www.google.com/maps/place/%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%90%E3%82%B5%E3%83%A9+%E3%83%8A%E3%83%81%E3%83%A5%E3%83%A9%E3%83%AB%E3%83%AF%E3%82%A4%E3%83%B3%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x3546a700066012c3:0x19833ef0719ddfa9,夕食 / お酒,夕食からお酒まで使いやすい店。,place,%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%90%E3%82%B5%E3%83%A9+%E3%83%8A%E3%83%81%E3%83%A5%E3%83%A9%E3%83%AB%E3%83%AF%E3%82%A4%E3%83%B3%E9%A3%9F%E5%A0%82,ニューバサラ ナチュラルワイン食堂,0x3546a700066012c3:0x19833ef0719ddfa9,"","","",URLパスから抽出,0x3546a700066012c3,0x19833ef0719ddfa9,place_id,〒874-0920 大分県別府市北浜３丁目２−２ バサラハウス,070-2304-5195,"",establishment / food / point_of_interest / restaurant,4.8,12,Google Maps URL 文字列ベースで分解のみ,ChIJwxJgBgCnRjURqd-dcfA-gxk,+81 70-2304-5195,月曜日: 17時00分～22時00分 | 火曜日: 定休日 | 水曜日: 定休日 | 木曜日: 17時00分～22時00分 | 金曜日: 17時00分～22時00分 | 土曜日: 17時00分～22時00分 | 日曜日: 17時00分～22時00分,open_now=False,"",OPERATIONAL,https://www.instagram.com/basara_house_beppu/,https://maps.google.com/?cid=1838382275316539305,33.2818898,131.5030129,OK,辛味とスパイスのバランスがハイクオリティ。 照明と音のバランスが取れていて、体感しやすい。 利用イメージは、足しながら選べる、扱いやすいボリューム感。 総合評価は安定寄りで、期待値を合わせやすい。
コーヒースタンド ステアーズ,"",https://www.google.com/maps/place/%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89+%E3%82%B9%E3%83%86%E3%82%A2%E3%83%BC%E3%82%BA/data=!4m2!3m1!1s0x3546a6c2c45a708f:0x94bde75a654eeee4,昼食 / 喫茶 / お買いもの,休憩やカフェ利用に向く店。,place,%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89+%E3%82%B9%E3%83%86%E3%82%A2%E3%83%BC%E3%82%BA,コーヒースタンド ステアーズ,0x3546a6c2c45a708f:0x94bde75a654eeee4,"","","",URLパスから抽出,0x3546a6c2c45a708f,0x94bde75a654eeee4,place_id,〒874-0944 大分県別府市元町３−６,"","",cafe / establishment / food / point_of_interest / store,4.7,113,Google Maps URL 文字列ベースで分解のみ,ChIJj3BaxMKmRjUR5O5OZVrnvZQ,"",月曜日: 定休日 | 火曜日: 定休日 | 水曜日: 12時00分～18時00分 | 木曜日: 12時00分～18時00分 | 金曜日: 12時00分～18時00分 | 土曜日: 12時00分～18時00分 | 日曜日: 12時00分～17時00分,open_now=False,"",OPERATIONAL,https://www.facebook.com/Coffee-Stand-Stairs-1014496752001961/,https://maps.google.com/?cid=10717977063644393188,33.2777386,131.5029201,OK,空間が落ち着いていて、長めに使っても疲れにくい。 席の配置が落ち着いていて、食事のリズムが作りやすい。 実用面では、評価情報が十分で、候補比較に使いやすい。 総合評価は安定寄りで、期待値を合わせやすい。
Cafe 豆,"",https://www.google.com/maps/place/Cafe+%E8%B1%86/data=!4m2!3m1!1s0x3546a6ec3979c141:0xc976304d53ec472b,喫茶 / お買いもの,休憩やカフェ利用に向く店。,place,Cafe+%E8%B1%86,Cafe 豆,0x3546a6ec3979c141:0xc976304d53ec472b,"","","",URLパスから抽出,0x3546a6ec3979c141,0xc976304d53ec472b,place_id,〒874-0908 大分県別府市上田の湯町３−２２,090-2962-4856,"",cafe / establishment / food / point_of_interest / store,4.7,83,Google Maps URL 文字列ベースで分解のみ,ChIJQcF5OeymRjURK0fsU00wdsk,+81 90-2962-4856,"","",2,OPERATIONAL,https://www.instagram.com/cafemame_1208/,https://maps.google.com/?cid=14516843557553981227,33.2761434,131.4945887,OK,店内のテンションが安定していて、ゆっくり過ごせる。 導線が自然で、初めてでも動きに迷いにくい。 回遊時は、評価情報が十分で、候補比較に使いやすい。 評価の方向性が見えやすく、時間をかけて回しやすい。
"33°16'42.9""N 131°30'10.9""E","","https://www.google.com/maps/search/33.278592,131.503036",駐車場,移動時に使いやすい駐車スポット。,search,"","","","33.278592,131.503036",33.278592,131.503036,URLパスから抽出,"","",search(座標),〒874-0920 大分県別府市北浜１丁目２−２２,"","",establishment / parking / point_of_interest,4.8,4,Google Maps URL 文字列ベースで分解のみ,ChIJf9zUL92mRjURmqeTKhXrnFk,"",月曜日: 24 時間営業 | 火曜日: 24 時間営業 | 水曜日: 24 時間営業 | 木曜日: 24 時間営業 | 金曜日: 24 時間営業 | 土曜日: 24 時間営業 | 日曜日: 24 時間営業,open_now=True,"",OPERATIONAL,"",https://maps.google.com/?cid=6457294441883608986,33.2785636,131.5031602,OK,空間が落ち着いていて、長めに使っても疲れにくい。 導線が自然で、初めてでも動きに迷いにくい。 利用イメージは、口コミ数は少なめなので、訪問時の体験が判断の軸になる。 総合評価は安定寄りで、期待値を合わせやすい。
TANNEL,"",https://www.google.com/maps/place/TANNEL/data=!4m2!3m1!1s0x3546a753f704df2d:0x67ad58f3b8602cc9,お酒,夜に立ち寄りやすいお酒メインの店。,place,TANNEL,TANNEL,0x3546a753f704df2d:0x67ad58f3b8602cc9,"","","",URLパスから抽出,0x3546a753f704df2d,0x67ad58f3b8602cc9,place_id,〒874-0920 大分県別府市北浜１丁目１２−２,"","",bar / establishment / point_of_interest,4.8,37,Google Maps URL 文字列ベースで分解のみ,ChIJLd8E91OnRjURySxguPNYrWc,"",月曜日: 20時00分～0時00分 | 火曜日: 20時00分～0時00分 | 水曜日: 20時00分～0時00分 | 木曜日: 定休日 | 金曜日: 20時00分～0時00分 | 土曜日: 20時00分～0時00分 | 日曜日: 20時00分～0時00分,open_now=False,"",OPERATIONAL,https://www.instagram.com/tannel_beppu/,https://maps.google.com/?cid=7470725160671128777,33.278668,131.5054647,OK,店内のテンションが安定していて、ゆっくり過ごせる。 くつろげる距離感の店内で、滞在しやすい。 とくに、情報の重なりが多く、失敗しにくい選び方ができる。 高評価帯で、見込みのズレが少なめ。
the HELL,"",https://www.google.com/maps/place/the+HELL/data=!4m2!3m1!1s0x3546a77ba87adddf:0xdad46e26f36b3c7d,お酒,夜に立ち寄りやすいお酒メインの店。,place,the+HELL,the HELL,0x3546a77ba87adddf:0xdad46e26f36b3c7d,"","","",URLパスから抽出,0x3546a77ba87adddf,0xdad46e26f36b3c7d,place_id,〒874-0920 大分県別府市北浜１丁目１−１９ マキビル １階,"","",bar / establishment / point_of_interest,4.7,65,Google Maps URL 文字列ベースで分解のみ,ChIJ3916qHunRjURfTxr8yZu1No,"",月曜日: 20時00分～0時00分 | 火曜日: 20時00分～0時00分 | 水曜日: 20時00分～0時00分 | 木曜日: 定休日 | 金曜日: 20時00分～0時00分 | 土曜日: 20時00分～0時00分 | 日曜日: 20時00分～0時00分,open_now=False,"",OPERATIONAL,https://instagram.com/the_hell_beppu?utm_medium=copy_link,https://maps.google.com/?cid=15768349308902653053,33.278252,131.5033872,OK,座る場所が選びやすく、無理なく滞在を組み立てられる。 照明と音のバランスが取れていて、体感しやすい。 回遊時は、評価情報が十分で、候補比較に使いやすい。 高評価帯で、見込みのズレが少なめ。
ケーズキッチン,"",https://www.google.com/maps/place/%E3%82%B1%E3%83%BC%E3%82%BA%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3/data=!4m2!3m1!1s0x3546a7b86e4b887d:0x863fef99a159f13d,お酒,夜に立ち寄りやすいお酒メインの店。,place,%E3%82%B1%E3%83%BC%E3%82%BA%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3,ケーズキッチン,0x3546a7b86e4b887d:0x863fef99a159f13d,"","","",URLパスから抽出,0x3546a7b86e4b887d,0x863fef99a159f13d,place_id,〒874-0920 大分県別府市北浜１丁目９−１２ 横丁ビル 1階,"","",bar / establishment / point_of_interest,4.7,6,Google Maps URL 文字列ベースで分解のみ,ChIJfYhLbrinRjURPfFZoZnvP4Y,"",月曜日: 19時00分～4時00分 | 火曜日: 19時00分～4時00分 | 水曜日: 19時00分～4時00分 | 木曜日: 19時00分～4時00分 | 金曜日: 19時00分～4時00分 | 土曜日: 19時00分～4時00分 | 日曜日: 定休日,open_now=False,"",OPERATIONAL,"",https://maps.google.com/?cid=9673713967731175741,33.2790473,131.5052046,OK,座る場所が選びやすく、無理なく滞在を組み立てられる。 店内は騒がしすぎず、会話が自然に続きやすい。 実用面では、足しながら選べる、扱いやすいボリューム感。 高評価帯で、見込みのズレが少なめ。
色彩酒場ぺこぺこ,"",https://www.google.com/maps/place/%E8%89%B2%E5%BD%A9%E9%85%92%E5%A0%B4%E3%81%BA%E3%81%93%E3%81%BA%E3%81%93/data=!4m2!3m1!1s0x3546a7d13e3947fd:0xe5c2b3f4e0acfb95,昼食 / 夕食 / お酒,夕食からお酒まで使いやすい店。,place,%E8%89%B2%E5%BD%A9%E9%85%92%E5%A0%B4%E3%81%BA%E3%81%93%E3%81%BA%E3%81%93,色彩酒場ぺこぺこ,0x3546a7d13e3947fd:0xe5c2b3f4e0acfb95,"","","",URLパスから抽出,0x3546a7d13e3947fd,0xe5c2b3f4e0acfb95,place_id,〒874-0944 大分県別府市元町３−３,"","",establishment / food / point_of_interest / restaurant,4.4,5,Google Maps URL 文字列ベースで分解のみ,ChIJ_Uc5PtGnRjURlfus4PSzwuU,"",月曜日: 24 時間営業 | 火曜日: 24 時間営業 | 水曜日: 24 時間営業 | 木曜日: 24 時間営業 | 金曜日: 24 時間営業 | 土曜日: 24 時間営業 | 日曜日: 24 時間営業,open_now=True,"",OPERATIONAL,https://www.instagram.com/abesayuripecoprco?igsh=dzlrb3BoYTFydHY=,https://maps.google.com/?cid=16555993044490189717,33.2776306,131.5034373,OK,空間が落ち着いていて、長めに使っても疲れにくい。 席の配置が落ち着いていて、食事のリズムが作りやすい。 実用面では、口コミ投稿数が少なめで、実際に確かめる価値が高い。 良し悪しはあるが、条件を合わせると刺さりやすい。
